date,ticker,open,high,low,close,percent_change
2010-06-29,TSLA,1.2666670083999634,1.6666669845581055,1.1693329811096191,1.5926669836044312,0.0
2010-06-30,TSLA,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,-0.25114782580188005
2010-07-01,TSLA,1.6666669845581055,1.7280000448226929,1.3513330221176147,1.4639999866485596,-7.847273575876408
2010-07-02,TSLA,1.5333329439163208,1.5399999618530273,1.24733304977417,1.2799999713897705,-12.568307167816878
2010-07-06,TSLA,1.3333330154418945,1.3333330154418945,1.0553330183029175,1.0740000009536743,-16.093748050043317
2010-07-07,TSLA,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,-1.9242976613779106
2010-07-08,TSLA,1.0759999752044678,1.1679999828338623,1.0379999876022339,1.1640000343322754,10.506362722128276
2010-07-09,TSLA,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,-0.34364841863351747
2010-07-12,TSLA,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,-2.0114615624535945
2010-07-13,TSLA,1.1593329906463623,1.2426669597625732,1.1266670227050781,1.2093329429626465,6.392895100541643
2010-07-14,TSLA,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779175,9.371617665324084
2010-07-15,TSLA,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,0.2519887862781971
2010-07-16,TSLA,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,3.7707445294532356
2010-07-19,TSLA,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,6.153122421265342
2010-07-20,TSLA,1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,-7.34828792023611
2010-07-21,TSLA,1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,-0.39406020481687865
2010-07-22,TSLA,1.3666670322418213,1.4166669845581055,1.3580000400543213,1.399999976158142,3.8575611761181
